catalogNo,brand,name,category,spec,unit,detectedSpecies,application,host,reactivity,conjugate,casNo,sampleType,listPrice,memberPrice,wholesalePrice,remark
ab134122,abcam,Anti-c-Fos抗体[EPR883(2)],reagent,40ul,支,,,,,,,,5532.5,1991.7,2213,
ab134122-100ul,abcam,Anti-c-Fos抗体[EPR883(2)],reagent,100ul,支,,,,,,,,9497.9,3419.24,3799.16,
ab176177,Abcam,Anti-cGAS抗体,reagent,50ug,支,,,,,,,,8225.1,2961.04,3290.04,
ab179785,abcam,Anti-cGAS抗体,reagent,50ug,支,,,,,,,,8205,2953.8,3282,
ab53032-100 µg,Abcam,Anti-Claudin 2抗体,reagent,100 µg,支,,,,,,,,8850.6,3186.22,3540.24,
ab2324,abcam,Anti-Cleaved Caspase-9抗体,reagent,50ug,支,,,,,,,,8119.65,2923.07,3247.86,
ab6308-50ul,abcam,Anti-Collagen I antibody [COL-1],reagent,50ul,支,,,,,,,,9153.8,3295.37,3661.52,
ab185430,abcam,Anti-Collagen II抗体[2B1.5],reagent,250ul,支,,,,,,,,8500.75,3060.27,3400.3,
ab6586-100ug,abcam,Anti-Collagen IV抗体(ab6586),reagent,100ug,支,,,,,,,,9246.6,3328.78,3698.64,
ab254113-100ul,abcam,Anti-Collagen I抗体(ab254113),reagent,100ul,支,,,,,,,,8802,3168.72,3520.8,
ab138492-40ul,Abcam,Anti-Collagen I抗体[EPR7785],reagent,40ul,支,,,,,,,,5231.25,1883.25,2092.5,
ab6992-50ug,abcam,Anti-CTGF抗体,reagent,50ug,支,,,,,,,,8499.6,3059.86,3399.84,
ab244274,abcam,Anti-Cubilin抗体,reagent,100µl,支,,,,,,,,9612.6,3460.54,3845.04,
ab95967-50ul,abcam,Anti-Desmocollin 2抗体,reagent,50ul,支,,,,,,,,8497.8,3059.21,3399.12,
ab116590,abcam,Anti-Digoxigenin抗体,reagent,100ug,支,,,,,,,,7485,2694.6,2994,
ab184247-100ul,abcam,Anti-DRP1 antibody[EPR19274],reagent,100ul,支,,,,,,,,8170.2,2941.27,3268.08,
ab1416,Abcam,Anti-E Cadherin抗体[HECD-1] (ab1416),reagent,100ul,支,,,,,,,,8917.5,3210.3,3567,
ab1416-250ul,Abcam,Anti-E Cadherin抗体[HECD-1] (ab1416),reagent,250ul,支,,,,,,,,9720,3499.2,3888,
ab35654,abcam,Anti-E. coli LPS抗体[2D7/1],reagent,100ug,支,,,,,,,,9828,3538.08,3931.2,
ab76198,Abcam,Anti-eNOS抗体[M221] 小鼠单,reagent,100ul,支,,,,,,,,8310,2991.6,3324,
ab174291,abcam,Anti-EPS15抗体[EP9280],reagent,100ul,支,,,,,,,,7305,2629.8,2922,
ab201015-10ul,abcam,Anti-ERK1 (phospho T202) + ERK2 (phospho T185) antibody [EPR19401],reagent,10ul,支,,,,,,,,2000.63,720.23,800.25,
ab201015-100ul,abcam,Anti-ERK1 (phospho T202) + ERK2 (phospho T185)抗体,reagent,100ul,支,,,,,,,,8386.05,3018.98,3354.42,
ab201015-40ul,abcam,Anti-ERK1 (phospho T202) + ERK2 (phospho T185)抗体[EPR19401],reagent,40ul,支,,,,,,,,5032,1811.52,2012.8,
ab76299-40,Abcam,Anti-Erk1 (pT202/pY204) + Erk2 (pT185/pY187)抗体[EP197Y],reagent,40ul,支,,,,,,,,4797.5,1727.1,1919,
ab201015,Abcam,Anti-ERK1(phospho T202)+ERK2(phospho T185)抗体[EPR19401] 兔单,reagent,100ul,支,,,,,,,,8385,3018.6,3354,
ab76299,Abcam,Anti-Erk1(pT202/pY204)+Erk2(pT185/pY187)抗体[EP197Y] 兔单,reagent,100ul,支,,,,,,,,8000,2880,3200,
ab3576-100ug,abcam,Anti-Estrogen Receptor beta抗体,reagent,100ug,支,,,,,,,,9174.38,3302.78,3669.75,
ab90247-10ug,abcam,Anti-F4/80抗体[F4/80] - Macrophage Marker (ab90247),reagent,10ug,支,,,,,,,,1569.6,565.06,627.84,
ab192577-100ug,abcam,Anti-Factor B抗体,reagent,100ug,支,,,,,,,,8052.5,2898.9,3221,
ab40794-40ul,Abcam,Anti-FAK抗体[EP695Y],reagent,40ul,支,,,,,,,,4849.2,1745.71,1939.68,
ab95940-50ul,abcam,Anti-FGFRL1抗体,reagent,50ul,支,,,,,,,,8769.6,3157.06,3507.84,
ab2413-250ul,abcam,Anti-Fibronectin抗体,reagent,250ul,支,,,,,,,,9684,3486.24,3873.6,
ab8245,abcam,Anti-GAPDH抗体[6C5] - Loading Control,reagent,100ug,支,,,,,,,,9180,3304.8,3672,
ab181602,abcam,Anti-GAPDH抗体[EPR16891] (ab181602),reagent,100ul,支,,,,,,,,8809.7,3171.49,3523.88,
ab181602-10ul,abcam,Anti-GAPDH抗体[EPR16891] (ab181602),reagent,10ul,支,,,,,,,,1998,719.28,799.2,
ab181602-40ul,abcam,Anti-GAPDH抗体[EPR16891] (ab181602),reagent,40ul,支,,,,,,,,5347.8,1925.21,2139.12,
ab16997,abcam,Anti-GFAP抗体,reagent,1ml,支,,,,,,,,9307.8,3350.81,3723.12,
ab273018-100ul,abcam,Anti-Gli1抗体(ab273018),reagent,100ul,支,,,,,,,,8593.2,3093.55,3437.28,
ab125066-100ul,abcam,Anti-Glutathione Peroxidase 4抗体[EPNCIR144],reagent,100ul,支,,,,,,,,10117.8,3642.41,4047.12,
ab125066-10ul,abcam,Anti-Glutathione Peroxidase 4抗体[EPNCIR144],reagent,10ul,支,,,,,,,,2014.65,725.27,805.86,
ab125066-40ul,abcam,Anti-Glutathione Peroxidase 4抗体[EPNCIR144],reagent,40ul,支,,,,,,,,5841,2102.76,2336.4,
ab124995-40ul,abcam,Anti-Glutathione Reductase抗体[EPR7238],reagent,40ul,支,,,,,,,,4848.85,1745.59,1939.54,
ab219800-100ul,abcam,Anti-GSDMD抗体[EPR20859] (ab219800),reagent,100ul,支,,,,,,,,8400.85,3024.31,3360.34,
ab131097,abcam,Anti-GSK3 beta (phospho S9)抗体,reagent,100ug,支,,,,,,,,8754.38,3151.58,3501.75,
ab131097-100ul,abcam,Anti-GSK3 beta (phospho S9)抗体(ab131097),reagent,100ul,支,,,,,,,,7997.5,2879.1,3199,
ab75814,abcam,Anti-GSK3 beta (phospho S9)抗体[EPR2286Y],reagent,10ul,支,,,,,,,,1650,594,660,
ab131356,abcam,Anti-GSK3 beta抗体,reagent,100ug,支,,,,,,,,8330.63,2999.03,3332.25,
ab153949,abcam,Anti-GST3 / GST pi抗体,reagent,100 µl,支,,,,,,,,8219.55,2959.04,3287.82,
ab71559,abcam,Anti-Hes1抗体,reagent,100ul,支,,,,,,,,9606.6,3458.38,3842.64,
ab216842-100ul,abcam,Anti-HIF-1 alpha抗体,reagent,100ul,支,,,,,,,,8543.3,3075.59,3417.32,
ab109616,abcam,Anti-HIF-2-alpha抗体,reagent,100ug,支,,,,,,,,8002.8,2881.01,3201.12,
ab203337,abcam,Anti-Histone H1 (acetyl K52)抗体,reagent,100ul,支,,,,,,,,7845.85,2824.51,3138.34,
AB61177,abcam,Anti-Histone H1抗体,reagent,100ul,支,,,,,,,,8424.9,3032.96,3369.96,
ab5103-100ug,abcam,Anti-Histone H3 (citrulline R2 + R8 + R17)抗体,reagent,100ug,支,,,,,,,,10576.8,3807.65,4230.72,
ab133462-40ul,abcam,Anti-IKB alpha (phospho S36)抗体[EPR6235(2)]abcam,reagent,40ul,支,,,,,,,,5279.4,1900.58,2111.76,
ab32518,Abcam,Anti-IKB alpha抗体[E130] 兔单,reagent,100ul,支,,,,,,,,8275,2979,3310,
ab124957-100ul,abcam,Anti-IKK beta抗体[EPR6043] (ab124957),reagent,100ul,支,,,,,,,,9610,3459.6,3844,
ab205924-100ug,Abcam,Anti-IL-1 beta抗体(ab205924),reagent,100ug,支,,,,,,,,11102.5,3996.9,4441,
ab115671-50UL,abcam,Anti-IL-27-A抗体,reagent,50ul,支,,,,,,,,7240.9,2606.72,2896.36,
ab239526,abcam,Anti-IL36 gamma/IL-1F9抗体[D2],reagent,100ug,支,,,,,,,,9170.63,3301.43,3668.25,
ab178945-40ul,abcam,Anti-iNOS抗体[EPR16635],reagent,40ul,支,,,,,,,,4706.4,1694.3,1882.56,
ab150361-40ul,abcam,Anti-Integrin alpha 5抗体[EPR7854] (ab150361),reagent,40ul,支,,,,,,,,5185,1866.6,2074,
ab140599,abcam,Anti-Integrin alpha 9[EPR9722],reagent,100ul,支,,,,,,,,7612.75,2740.59,3045.1,
ab179471-40ul,Abcam,Anti-Integrin beta 1抗体[EPR16895],reagent,40ul,支,,,,,,,,4183.2,1505.95,1673.28,
ab7740-500 µl,abcam,Anti-Interferon gamma抗体(ab7740),reagent,500 µl,支,,,,,,,,8431.2,3035.23,3372.48,
ab48187,abcam,Anti-IRE1（phospho S724)抗体,reagent,100ul,支,,,,,,,,8666.25,3119.85,3466.5,
ab37073,Abcam,Anti-IRE1抗体(ab37073),reagent,100ul,支,,,,,,,,8882.5,3197.7,3553,
ab76493-40ul,abcam,Anti-IRF3 (phospho S386)抗体[EPR2346] (ab76493),reagent,40ul,支,,,,,,,,5089.35,1832.17,2035.74,
ab124956-10ul,abcam,Anti-JNK1 + JNK2 + JNK3 (phospho T183+T183+T221) antibody [EPR5693],reagent,10ul,支,,,,,,,,1925.63,693.23,770.25,
ab76572,Abcam,Anti-JNK1+JNK2+JNK3(phospho Y185+Y185+Y223)抗体[EP1597Y] 兔单,reagent,100ul,支,,,,,,,,6860,2469.6,2744,
ab208035,Abcam,Anti-JNK1+JNK2+JNK3抗体[EPR18841-95] 兔单,reagent,100ul,支,,,,,,,,6860,2469.6,2744,
ab118221,abcam,Anti-JOSD1抗体,reagent,100ug,支,,,,,,,,8335.8,3000.89,3334.32,
ab118221-100ug,abcam,Anti-JOSD1抗体,reagent,100ug,支,,,,,,,,8670.6,3121.42,3468.24,
ab121410,abcam,Anti-KANK4抗体,reagent,100ul,支,,,,,,,,8119.65,2923.07,3247.86,
ab70183-100ug,abcam,Anti-KAT7 / Hbo1 / MYST2抗体,reagent,100ug,支,,,,,,,,7951.88,2862.68,3180.75,
ab5199,Abcam,Anti-KDM2B抗体(ab5199),reagent,100ug,支,,,,,,,,8562.5,3082.5,3425,
ab16667-500ul,abcam,anti-ki67,reagent,500ul,支,,,,,,,,8737.2,3145.39,3494.88,
ab24331,abcam,Anti-KLF5抗体,reagent,100ug,支,,,,,,,,5176.3,1863.47,2070.52,
ab7463-100ul,abcam,Anti-Laminin 1+2抗体(ab7463),reagent,100ul,支,,,,,,,,8751.6,3150.58,3500.64,
ab125068-10,Abcam,Anti-LAMP2A抗体[EPR4207(2)] - Lysosome Marker,reagent,10ul,支,,,,,,,,1630.8,587.09,652.32,
ab192890-40ul,abcam,Anti-LC3B抗体,reagent,40ul,支,,,,,,,,4275,1539,1710,
ab232958,abcam,Anti-LPCAT3抗体,reagent,100ug,支,,,,,,,,9237.6,3325.54,3695.04,
ab76969,abcam,Anti-Lrp2 / Megalin抗体,reagent,200µl,支,,,,,,,,8493.35,3057.61,3397.34,
ab184676,abcam,Anti-Lrp2 / Megalin抗体[CD7D5],reagent,50µl,支,,,,,,,,8225.1,2961.04,3290.04,
ab15627-50ul,abcam,Anti-Ly6c抗体[ER-MP20],reagent,50ug,支,,,,,,,,8506.88,3062.48,3402.75,
ab216428-100ul,abcam,Anti-MADH7/SMAD7抗体(ab216428),reagent,100ul,支,,,,,,,,8500.75,3060.27,3400.3,
ab52628-40ul,abcam,Anti-MAP1LC3A抗体[EP1528Y],reagent,40ul,支,,,,,,,,4489.95,1616.38,1795.98,
ab194754-100ul,abcam,Anti-MEK1 + MEK2 (phospho S218 + S222)抗体,reagent,100ul,支,,,,,,,,7845.85,2824.51,3138.34,
ab195352,abcam,Anti-METTL3抗体（EPR18810）,reagent,10UG,支,,,,,,,,1869.38,672.98,747.75,
ab195352-100ul,abcam,Anti-METTL3抗体（EPR18810）,reagent,100ul,支,,,,,,,,8170.2,2941.27,3268.08,
ab82211,abcam,Anti-mGluR1抗体,reagent,100ug,支,,,,,,,,8682.05,3125.54,3472.82,
ab65869-100ug,abcam,Anti-MIF抗体,reagent,100ug,支,,,,,,,,8789.35,3164.17,3515.74,
ab235955-100ug,abcam,Anti-MKLP1抗体,reagent,100ug,支,,,,,,,,9156.6,3296.38,3662.64,
ab38898-100ug,abcam,Anti-MMP9抗体,reagent,100ug,支,,,,,,,,8352,3006.72,3340.8,
ab76003-10ul,abcam,Anti-MMP9抗体[EP1254] (ab76003),reagent,10ul,支,,,,,,,,1848.6,665.5,739.44,
ab76003-40ul,abcam,Anti-MMP9抗体[EP1254] (ab76003),reagent,40ul,支,,,,,,,,5303.95,1909.42,2121.58,
ab180724,abcam,Anti-MRP5抗体,reagent,100ul,支,,,,,,,,8739,3146.04,3495.6,
ab92331-100ul,abcam,Anti-MRP8抗体[EPR3554],reagent,100ul,支,,,,,,,,8441.55,3038.96,3376.62,
ab76822-50 µg,Abcam,Anti-MSP/MST1抗体,reagent,50 µg,支,,,,,,,,7900.2,2844.07,3160.08,
ab14705,abcam,Anti-MTCO1抗体[1D6E1A8],reagent,100ug,支,,,,,,,,8958.6,3225.1,3583.44,
ab84400-100ul,abcam,Anti-mTOR (phospho S2448)抗体,reagent,100ul,支,,,,,,,,8499.38,3059.78,3399.75,
ab109268,Abcam,Anti-mTOR (phospho S2448)抗体[EPR426(2)] 兔单,reagent,40ul,支,,,,,,,,5802.5,2088.9,2321,
ab137133,Abcam,Anti-mTOR (phospho S2481)抗体[EPR427(N)] 兔单,reagent,40ul,支,,,,,,,,4427.5,1593.9,1771,
ab32028,Abcam,Anti-mTOR抗体[Y391] 兔单,reagent,40ul,支,,,,,,,,5065,1823.4,2026,
ab32-100ul,abcam,Anti-Myc tag抗体[9E10],reagent,100ul,支,,,,,,,,9459.05,3405.26,3783.62,
ab40390,abcam,Anti-Myelin Basic Protein antibody,reagent,100 µg,支,,,,,,,,9114.95,3281.38,3645.98,
ab9535-500µl,abcam,Anti-Myeloperoxidase抗体,reagent,500µl,支,,,,,,,,9523.8,3428.57,3809.52,
ab90810-50ug,abcam,Anti-Myeloperoxidase抗体[2D4],reagent,50ug,支,,,,,,,,9246.6,3328.78,3698.64,
ab18203,Abcam,Anti-N Cadherin抗体- Intercellular Junction Marker,reagent,100ul,支,,,,,,,,9489.6,3416.26,3795.84,
ab151230-100ul,abcam,Anti-N6-methyladenosine (m6A)抗体,reagent,100ul,支,,,,,,,,7845.85,2824.51,3138.34,
ab208577-100ug,abcam,Anti-N6-methyladenosine (m6A)抗体[17-3-4-1],reagent,100ug,支,,,,,,,,8160.35,2937.73,3264.14,
ab65166,abcam,Anti-Nav1.6/SCN8A抗体,reagent,100ul,支,,,,,,,,7991.25,2876.85,3196.5,
ab58968,Abcam,Anti-Nephrin抗体(ab58968),reagent,50ul,支,,,,,,,,8387.5,3019.5,3355,
ab86299,Abcam,Anti-NF-kB p65 (phospho S536)抗体,reagent,100ul,支,,,,,,,,8182.5,2945.7,3273,
ab86299-100ul,abcam,Anti-NF-kB p65 (phospho S536)抗体(ab86299),reagent,100ul,支,,,,,,,,8352.5,3006.9,3341,
ab32536-10ul,Abcam,Anti-NF-kB p65抗体,reagent,10ul,支,,,,,,,,1920.6,691.42,768.24,
ab16502,Abcam,Anti-NF-kB p65抗体(ab16502),reagent,100ul,支,,,,,,,,8917.5,3210.3,3567,
ab32536,Abcam,Anti-NF-kB p65抗体[E379] 兔单,reagent,100ul,支,,,,,,,,10125,3645,4050,
ab50009,abcam,Anti-NG2抗体[132.38],reagent,100μg,支,,,,,,,,8900.35,3204.13,3560.14,
ab214185-100ul,Abcam,Anti-NLRP3抗体(ab214185),reagent,100ul,支,,,,,,,,8270,2977.2,3308,
ab50339-100ul,abcam,Anti-NPHS2抗体(ab50339),reagent,100ul,支,,,,,,,,8458.2,3044.95,3383.28,
ab136649,abcam,Anti-Nucleolin抗体[364-5],reagent,100ug,支,,,,,,,,8722.8,3140.21,3489.12,
ab254043,abcam,Anti-Olig2抗体,reagent,100 µl,支,,,,,,,,8284.3,2982.35,3313.72,
ab13420-50ul,abcam,Anti-Osteocalcin抗体[OCG3],reagent,50ug,支,,,,,,,,8436,3036.96,3374.4,
ab88304,abcam,Anti-P15RS抗体,reagent,50 µg,支,,,,,,,,7845.85,2824.51,3138.34,
ab195049-40ul,Abcam,Anti-p38 (phospho T180 + Y182)抗体[EPR18120] 兔单,reagent,40ul,支,,,,,,,,4289.4,1544.18,1715.76,
ab178867-10ul,abcam,Anti-p38 (phospho T180) antibody [EPR16587],reagent,10ul,支,,,,,,,,1869.38,672.98,747.75,
ab32142,Abcam,Anti-p38 antibody [Y122] (ab32142) 兔单,reagent,100ul,支,,,,,,,,9990,3596.4,3996,
ab32142-40ul,Abcam,Anti-p38抗体[Y122] 兔单,reagent,40ul,支,,,,,,,,5995,2158.2,2398,
ab28-10ug,abcam,Anti-p53抗体[PAb 1801],reagent,10ug,支,,,,,,,,1589.4,572.18,635.76,
ab26-10ul,abcam,Anti-p53抗体[PAb 240],reagent,10ul,支,,,,,,,,1652.4,594.86,660.96,
ab38449,abcam,Anti-pan-AKT (phospho T308)抗体,reagent,100ug,支,,,,,,,,8242.5,2967.3,3297,
ab15954,Abcam,Anti-Parkin抗体(ab15954),reagent,100ul,支,,,,,,,,8525,3069,3410,
ab29-100ug,abcam,Anti-PCNA抗体[PC10],reagent,100ug,支,,,,,,,,8845.2,3184.27,3538.08,
ab126639-100µg,abcam,Anti-Perilipin-1抗体,reagent,100 µg,支,,,,,,,,8225.1,2961.04,3290.04,
ab217322,Abcam,Anti-PERK antibody (ab217322),reagent,100ul,支,,,,,,,,8043.75,2895.75,3217.5,
ab80612,abcam,Anti-PH3抗体,reagent,100ug,支,,,,,,,,7845.85,2824.51,3138.34,
ab9332-100µg,Abcam,Anti-Phosphoserine抗体,reagent,100 µg,支,,,,,,,,9147.6,3293.14,3659.04,
ab182651-100ul,abcam,Anti-PI 3 Kinase p85 alpha (phospho Y607)抗体,reagent,100ul,支,,,,,,,,9120.6,3283.42,3648.24,
ab23707,Abcam,Anti-PINK1抗体(ab23707),reagent,100ul,支,,,,,,,,8475,3051,3390,
ab180848-10ul,Abcam,Anti-PKC alpha (phospho S657)抗体[EPR1901(2)] (ab180848),reagent,10ul,支,,,,,,,,1711.25,616.05,684.5,
ab32376-10ul,Abcam,Anti-PKC alpha抗体[Y124] (ab32376),reagent,10ul,支,,,,,,,,1844.45,664,737.78,
ab210605,Abcam,Anti-POMC抗体[EPR17571] (ab210605),reagent,40ul,支,,,,,,,,4621.75,1663.83,1848.7,
ab2723-10ul,abcam,Anti-PSD95抗体[6G6-1C9] - Synaptic Marker,reagent,10ul,支,,,,,,,,1700.63,612.23,680.25,
ab32199-10ul,abcam,Anti-PTEN抗体[Y184] (ab32199),reagent,10ul,支,,,,,,,,1676.1,603.4,670.44,
ab233806-100ul,abcam,Anti-PTPRD抗体[5H5D7],reagent,100ul,支,,,,,,,,9156.6,3296.38,3662.64,
ab52939,abcam,Anti-Ras抗体[EP1125Y],reagent,40ul,支,,,,,,,,5214.6,1877.26,2085.84,
ab16907-50ug,abcam,Anti-Ras抗体[F132-62],reagent,50ug,支,,,,,,,,10674.38,3842.78,4269.75,
ab26046,Abcam,Anti-RBM10抗体,reagent,100ul,支,,,,,,,,10190,3668.4,4076,
ab54835-100µl,abcam,Anti-RhoA抗体[1B12] (ab54835),reagent,100µg,支,,,,,,,,9105.7,3278.05,3642.28,
ab191598-10,abcam,Anti-RNA polymerase beta抗体[EPR18704],reagent,10ul,支,,,,,,,,1630.8,587.09,652.32,
ab191598-40ul,abcam,Anti-RNA polymerase beta抗体[EPR18704],reagent,40ul,支,,,,,,,,4669.2,1680.91,1867.68,
ab97592-50ul,abcam,Anti-ROCK1抗体,reagent,50ul,支,,,,,,,,8678.35,3124.21,3471.34,
ab230651-100ul,abcam,Anti-RPS8抗体,reagent,100ul,支,,,,,,,,8286.15,2983.01,3314.46,
ab23981-100ug,abcam,Anti-RUNX2抗体(ab23981),reagent,100ug,支,,,,,,,,8752.5,3150.9,3501,
ab76956-100ul,abcam,Anti-RUNX2抗体[2B9] (ab76956),reagent,100ul,支,,,,,,,,9689.4,3488.18,3875.76,
ab11424,abcam,Anti-S1P1/EDG1抗体,reagent,50ug,支,,,,,,,,8730,3142.8,3492,
ab90135-100ug,abcam,Anti-Selenium Binding蛋白1/SBP抗体,reagent,100ug,支,,,,,,,,8467.45,3048.28,3386.98,
ab51134-40ul,abcam,Anti-Serine/threonine-protein kinase 4/MST-1抗体[EP1465Y],reagent,40ul,支,,,,,,,,4608.35,1659.01,1843.34,
ab231137,abcam,Anti-SIRT4抗体,reagent,100ug,支,,,,,,,,8197.5,2951.1,3279,
ab124826-40,abcam,Anti-SLC22A3抗体[EPR6630],reagent,40 µl,支,,,,,,,,5057.8,1820.81,2023.12,
ab7665,abcam,Anti-Slit2抗体,reagent,100ug,支,,,,,,,,9460.8,3405.89,3784.32,
ab183760,abcam,Anti-SLUG抗体(ab183760),reagent,100ul,支,,,,,,,,8011.88,2884.28,3204.75,
ab63576-100ug,abcam,Anti-Smad2抗体,reagent,100ug,支,,,,,,,,8373.6,3014.5,3349.44,
ab40854,abcam,Anti-Smad3抗体[EP568Y],reagent,100ul,支,,,,,,,,9962.5,3586.5,3985,
ab167609,abcam,Anti-SNAIL抗体(ab167609),reagent,50ug,支,,,,,,,,8011.88,2884.28,3204.75,
ab155653-100ul,abcam,Anti-SPAG6抗体,reagent,100ul,支,,,,,,,,8119.65,2923.07,3247.86,
ab155686,abcam,Anti-SQSTM1 / p62抗体,reagent,100ul,支,,,,,,,,8336.25,3001.05,3334.5,
ab109012-40ul,abcam,Anti-SQSTM1 / p62抗体[EPR4844] - Autophagosome Marker,reagent,40ul,支,,,,,,,,6811.7,2452.21,2724.68,
ab28481-100ul,Abcam,Anti-SREBP1抗体(ab28481),reagent,100ul,支,,,,,,,,9027,3249.72,3610.8,
ab16287-20ul,abcam,Anti-SSEA4抗体[MC813-70],reagent,20ul,支,,,,,,,,1807.2,650.59,722.88,
ab68153-10ul,abcam,Anti-STAT3抗体[EPR787Y] (ab68153),reagent,10ul,支,,,,,,,,1920.6,691.42,768.24,
ab134292-100ug,abcam,Anti-SUR1抗体[N289/16],reagent,100ug,支,,,,,,,,8170.2,2941.27,3268.08,
ab469-100ul,abcam,Anti-Survivin抗体,reagent,100ul,支,,,,,,,,9140.63,3290.63,3656.25,
ab16659-100ul,abcam,Anti-Synaptophysin抗体[SP11],reagent,100ul,支,,,,,,,,4737.6,1705.54,1895.04,
ab203676-100ul,abcam,Anti-tenomodulin抗体,reagent,100ul,支,,,,,,,,8139.6,2930.26,3255.84,
ab92486,abcam,Anti-TGF beta 1抗体,reagent,100ul,支,,,,,,,,8470,3049.2,3388,
ab215715-40,abcam,Anti-TGF beta 1抗体[EPR21143],reagent,40ul,支,,,,,,,,5039.4,1814.18,2015.76,
ab31013-500ul,abcam,Anti-TGF beta Receptor I抗体,reagent,500ul,支,,,,,,,,9302.4,3348.86,3720.96,
ab180630,abcam,Anti-TIMP2抗体,reagent,100ul,支,,,,,,,,8653.13,3115.13,3461.25,
ab58425,abcam,Anti-TIMP4抗体,reagent,100ul,支,,,,,,,,8330.63,2999.03,3332.25,
ab13556-100ug,abcam,Anti-TLR4抗体,reagent,100ug,支,,,,,,,,8454.6,3043.66,3381.84,
ab242108-100ul,abcam,Anti-TMEM33抗体(ab242108),reagent,100ul,支,,,,,,,,8406,3026.16,3362.4,
ab180799-100ul,abcam,Anti-TMS1/ASC抗体(ab180799),reagent,100ul,支,,,,,,,,8678.35,3124.21,3471.34,
ab34674-250ul,Abcam,Anti-TNF alpha抗体(ab34674),reagent,250ul,支,,,,,,,,8722.5,3140.1,3489,
ab16288-10ul,abcam,Anti-TRA-1-60 (R)抗体[TRA-1-60],reagent,10ul,支,,,,,,,,1818,654.48,727.2,
ab74194-100ul,abcam,Anti-TRIM56抗体,reagent,100ul,支,,,,,,,,7952.5,2862.9,3181,
ab6160,abcam,Anti-Tublin抗体[YL1/2],reagent,100ug,支,,,,,,,,8572.9,3086.24,3429.16,
ab84702,abcam,Anti-USP3抗体,reagent,100ul,支,,,,,,,,8119.65,2923.07,3247.86,
ab84702-100ul,abcam,Anti-USP3抗体,reagent,100ul,支,,,,,,,,8119.65,2923.07,3247.86,
ab117453-250ul,abcam,Anti-Vaccinia Virus抗体,reagent,250ul,支,,,,,,,,8160.35,2937.73,3264.14,
ab69479-100 µg,abcam,Anti-VEGF 165A抗体[6B7] (ab69479)(鼠单抗),reagent,100 µg,支,,,,,,,,9118.8,3282.77,3647.52,
ab1316-100ug,abcam,Anti-VEGFA抗体[VG-1],reagent,100ug,支,,,,,,,,8352,3006.72,3340.8,
ab137321,Abcam,Anti-Vimentin抗体,reagent,50ul,支,,,,,,,,8908.2,3206.95,3563.28,
ab8069-10ug,abcam,Anti-Vimentin抗体[V9] - Cytoskeleton Marker,reagent,10ug,支,,,,,,,,1695.6,610.42,678.24,
ab3508-100ul,abcam,Anti-Vitamin D Receptor antibody,reagent,100ul,支,,,,,,,,9590.4,3452.54,3836.16,
ab203225-100ul,abcam,Anti-Wnt2b抗体,reagent,100ul,支,,,,,,,,8658.75,3117.15,3463.5,
ab219412-40ul,abcam,Anti-Wnt3a抗体[EPR21889] (ab219412),reagent,40ul,支,,,,,,,,4903.2,1765.15,1961.28,
ab76948-100ul,abcam,Anti-XPF抗体,reagent,100ul,瓶,,,,,,,,8291.7,2985.01,3316.68,
ab56701-100 µg,Abcam,Anti-YAP1抗体[2F12],reagent,100 µg,支,,,,,,,,8454.6,3043.66,3381.84,
ab203829-40,abcam,Anti-ZEB1抗体[EPR17375],reagent,40 µl,支,,,,,,,,4227.5,1521.9,1691,
ab96587-50ul,Abcam,Anti-ZO1 tight junction蛋白抗体,reagent,50ul,支,,,,,,,,9086.4,3271.1,3634.56,
ab59348,Abcam,Bcl-2抗体 ab59348,reagent,100ul,支,,,,,,,,8862.5,3190.5,3545,
ab210498,Abcam,Beclin1抗体  ab210498,reagent,100ul,支,,,,,,,,8832.5,3179.7,3533,
ab13847,Abcam,Caspase-3抗体 ab13847,reagent,100ul,支,,,,,,,,8195.5,2950.38,3278.2,
ab40763-100ug,abcam,CD45,reagent,100ug,瓶,,,,,,,,9289.8,3344.33,3715.92,
ab134175-10ul,abcam,Cyclin D1 Mouse Monoclonal antibody（小鼠单抗）,reagent,10ul,支,,,,,,,,1676.1,603.4,670.44,
ab145233,abcam,"Decylubiquinone (2,3-Dmdb)，MPTP抑制剂",reagent,10mg,支,,,,,,,,1569.6,565.06,627.84,
ab144627-10MG,abcam,DETA-NONOate，Nitric oxide donor,reagent,10mg,支,,,,,,,,2996.25,1078.65,1198.5,
ab189810,abcam,DiR near-IR膜probe,reagent,25mg,支,,,,,,,,4532.4,1631.66,1812.96,
ab7007,Abcam,Donkey F(ab')2 Anti-Rabbit IgG H&L (PE) preadsorbed (ab7007),reagent,500 µg,支,,,,,,,,9433.15,3395.93,3773.26,
ab71916-100ug,abcam,Epcam,reagent,100ug,瓶,,,,,,,,9966.6,3587.98,3986.64,
ab275018,abcam,Exosome组合(Calnexin，CD9，CD63，CD81，Hsp70，TSG101),reagent,1kit,盒,,,,,,,,10002.6,3600.94,4001.04,
ab217602,abcam,Fatty Acid Oxidation Assay,reagent,55tests,支,,,,,,,,5831.25,2099.25,2332.5,
ab90812,abcam,FITC荧光Anti-Myeloperoxidase抗体[2D4],reagent,50 µg,支,,,,,,,,8160.35,2937.73,3264.14,
ab142773,abcam,Fluo-8 AM，green fluorescent calcium binding dye,reagent,1mg,支,,,,,,,,3911.4,1408.1,1564.56,
